sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
UXS9I3EAGC_M,12,12,15,11,24,15,17,9,4,13,38
UXS9I3EAGC_S,15,27,47,48,36,29,31,8,14,51,92
UXS9I3EAGC_XL,6,6,6,7,10,6,6,2,4,3,19
UXS9I3EAGC_XS,27,28,48,62,58,42,27,9,17,40,117
UXS9I3EAGC_XXS,20,10,28,21,24,19,13,5,9,21,56
V11O1XZ2MQ_L,2,2,2,4,6,3,4,1,2,4,5
V11O1XZ2MQ_M,3,4,8,5,8,6,7,2,3,9,17
V11O1XZ2MQ_S,9,5,8,13,20,12,12,2,9,18,25
V11O1XZ2MQ_XL,2,2,2,2,2,0,4,0,1,4,4
V11O1XZ2MQ_XS,6,8,14,17,13,9,13,4,5,17,39
V11O1XZ2MQ_XXS,5,6,11,14,11,9,12,3,4,14,32
WNRA980XXZ_L,6,9,8,15,11,9,4,3,3,19,16
WNRA980XXZ_M,11,9,14,26,21,11,13,7,13,27,41
WNRA980XXZ_S,7,6,13,15,12,8,7,5,5,15,23
WNRA980XXZ_XL,5,4,8,9,9,10,4,2,1,9,15
WNRA980XXZ_XS,4,4,6,7,7,5,3,1,1,7,9
WNRA980XXZ_XXL,3,4,8,5,8,6,7,2,1,9,17
WP8ED8R8U4_L,5,10,16,24,19,11,15,7,5,25,47
WP8ED8R8U4_M,7,8,10,17,24,11,9,4,5,14,36
WP8ED8R8U4_S,4,6,8,7,11,7,7,1,1,9,15
WP8ED8R8U4_XL,6,10,11,13,13,10,6,3,6,29,37
WP8ED8R8U4_XS,3,2,2,2,4,2,2,0,2,3,7
WP8ED8R8U4_XXL,1,2,2,2,4,2,3,0,3,5,7
YPGT13FQ9B_L,8,12,12,15,22,15,7,4,2,19,31
YPGT13FQ9B_M,16,19,31,33,43,31,21,11,10,40,60
YPGT13FQ9B_S,39,26,35,71,89,45,38,21,20,95,85
YPGT13FQ9B_XL,7,7,12,19,18,7,11,5,6,11,22
YPGT13FQ9B_XS,36,31,37,67,92,61,47,19,18,80,137
YPGT13FQ9B_XXS,19,25,40,68,74,33,26,12,20,54,72
ZKLSKKBEKZ_L,7,11,15,21,33,19,11,6,7,29,51
ZKLSKKBEKZ_M,13,15,25,39,44,31,21,7,13,42,71
ZKLSKKBEKZ_S,29,55,27,59,101,55,64,12,11,92,177
ZKLSKKBEKZ_XL,7,12,15,18,36,18,10,5,8,35,49
ZKLSKKBEKZ_XS,33,53,82,103,105,73,67,20,30,157,250
ZKLSKKBEKZ_XXS,25,37,45,75,76,51,30,13,14,77,105
ZOFDKNLVEN_L,29,29,40,72,79,48,31,10,16,54,164
ZOFDKNLVEN_M,32,26,72,99,83,55,34,18,25,62,143
ZOFDKNLVEN_S,12,14,27,44,63,34,33,8,19,31,112
ZOFDKNLVEN_XL,14,17,13,31,36,15,13,3,10,29,74
ZOFDKNLVEN_XS,14,18,18,39,21,19,16,6,7,25,75
ZOFDKNLVEN_XXL,5,8,9,14,15,10,13,3,4,16,25
