sku_id,channel_id,forecast_units,shipped_units,overstock_units,shortage_units,unit_cost,capital_cost
OK2HOMDWXP_XL,Rome,3,4,1,0,46,11.178
OK2HOMDWXP_XL,Stockholm,4,8,4,0,46,44.712
OK2HOMDWXP_XL,Webshop,10,14,4,0,46,44.712
OK2HOMDWXP_XS,Amsterdam,27,46,19,0,46,212.382
OK2HOMDWXP_XS,Berlin,25,26,1,0,46,11.178
OK2HOMDWXP_XS,Brussels,50,50,0,0,46,0
OK2HOMDWXP_XS,Copenhagen,48,65,17,0,46,190.026
OK2HOMDWXP_XS,Helsinki,65,69,4,0,46,44.712
OK2HOMDWXP_XS,Madrid,61,61,0,0,46,0
OK2HOMDWXP_XS,Paris,44,44,0,0,46,0
OK2HOMDWXP_XS,Platform,8,18,10,0,46,111.78
OK2HOMDWXP_XS,Rome,22,22,0,0,46,0
OK2HOMDWXP_XS,Stockholm,88,89,1,0,46,11.178
OK2HOMDWXP_XS,Webshop,114,114,0,0,46,0
OK2HOMDWXP_XXS,Amsterdam,10,25,15,0,46,167.67
OK2HOMDWXP_XXS,Berlin,14,17,3,0,46,33.534
OK2HOMDWXP_XXS,Brussels,21,37,16,0,46,178.848
OK2HOMDWXP_XXS,Copenhagen,60,60,0,0,46,0
OK2HOMDWXP_XXS,Helsinki,52,52,0,0,46,0
OK2HOMDWXP_XXS,Madrid,26,26,0,0,46,0
OK2HOMDWXP_XXS,Paris,21,22,1,0,46,11.178
OK2HOMDWXP_XXS,Platform,7,9,2,0,46,22.356
OK2HOMDWXP_XXS,Rome,15,15,0,0,46,0
OK2HOMDWXP_XXS,Stockholm,33,35,2,0,46,22.356
OK2HOMDWXP_XXS,Webshop,89,89,0,0,46,0
PQ8JXR05Z9_L,Amsterdam,15,15,0,0,33,0
PQ8JXR05Z9_L,Berlin,19,19,0,0,33,0
PQ8JXR05Z9_L,Brussels,16,21,5,0,33,40.095
PQ8JXR05Z9_L,Copenhagen,43,43,0,0,33,0
PQ8JXR05Z9_L,Helsinki,31,32,1,0,33,8.019
PQ8JXR05Z9_L,Madrid,17,18,1,0,33,8.019
PQ8JXR05Z9_L,Paris,18,19,1,0,33,8.019
PQ8JXR05Z9_L,Platform,8,8,0,0,33,0
PQ8JXR05Z9_L,Rome,7,12,5,0,33,40.095
PQ8JXR05Z9_L,Stockholm,15,27,12,0,33,96.228
PQ8JXR05Z9_L,Webshop,65,88,23,0,33,184.437
PQ8JXR05Z9_M,Amsterdam,18,21,3,0,33,24.057
PQ8JXR05Z9_M,Berlin,21,21,0,0,33,0
