sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
V11O1XZ2MQ_XL,3,1,2,4,5,3,5,1,1,4,8
V11O1XZ2MQ_XS,6,8,8,16,19,8,13,5,5,18,25
V11O1XZ2MQ_XXS,4,5,5,9,10,8,4,3,5,8,12
WNRA980XXZ_L,4,9,8,15,13,9,4,5,5,19,16
WNRA980XXZ_M,17,9,14,26,33,26,13,10,12,28,44
WNRA980XXZ_S,9,4,11,15,16,12,5,5,8,14,23
WNRA980XXZ_XL,4,2,2,6,9,5,2,2,2,7,13
WNRA980XXZ_XS,5,3,3,5,9,5,3,3,5,5,11
WNRA980XXZ_XXL,2,2,3,5,5,4,2,2,2,4,7
WP8ED8R8U4_L,7,11,22,19,18,16,8,3,7,27,45
WP8ED8R8U4_M,5,8,12,17,25,15,11,2,5,23,35
WP8ED8R8U4_S,2,4,4,7,11,9,4,1,1,9,15
WP8ED8R8U4_XL,6,10,9,8,16,10,10,3,2,28,24
WP8ED8R8U4_XS,2,2,2,2,6,2,4,0,2,3,6
WP8ED8R8U4_XXL,2,2,2,2,4,2,4,0,3,4,9
YPGT13FQ9B_L,8,12,17,27,22,13,9,5,7,22,31
YPGT13FQ9B_M,21,20,30,46,48,31,21,7,11,54,72
YPGT13FQ9B_S,30,36,38,71,82,44,37,21,20,95,95
YPGT13FQ9B_XL,8,9,15,21,22,14,10,3,5,19,28
YPGT13FQ9B_XS,54,32,46,74,93,60,56,18,22,77,135
YPGT13FQ9B_XXS,20,25,34,66,59,29,24,7,12,56,68
ZKLSKKBEKZ_L,7,9,14,25,33,21,12,3,4,14,48
ZKLSKKBEKZ_M,14,9,17,30,34,23,21,7,8,26,63
ZKLSKKBEKZ_S,35,55,55,99,100,57,62,20,23,73,177
ZKLSKKBEKZ_XL,9,12,9,21,33,23,11,4,5,21,56
ZKLSKKBEKZ_XS,57,60,74,132,116,75,77,25,31,157,251
ZKLSKKBEKZ_XXS,26,37,34,75,64,51,32,10,14,77,104
ZOFDKNLVEN_L,24,25,39,72,62,48,41,21,20,53,164
ZOFDKNLVEN_M,33,26,72,99,83,52,52,16,23,46,164
ZOFDKNLVEN_S,27,16,34,47,58,34,32,8,11,32,112
ZOFDKNLVEN_XL,13,9,11,26,29,13,15,6,14,29,49
ZOFDKNLVEN_XS,12,10,17,27,26,23,14,5,10,26,50
ZOFDKNLVEN_XXL,5,5,18,19,16,10,14,4,4,16,25
