sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
WP8ED8R8U4_XXL,1,2,2,2,4,3,3,1,3,3,8
YPGT13FQ9B_L,7,7,10,23,15,6,13,7,5,13,29
YPGT13FQ9B_M,17,13,21,38,36,28,17,7,10,31,72
YPGT13FQ9B_S,24,17,25,57,71,34,32,17,21,80,66
YPGT13FQ9B_XL,13,12,7,25,14,12,14,4,5,8,18
YPGT13FQ9B_XS,34,29,38,74,71,51,36,15,19,63,115
YPGT13FQ9B_XXS,17,20,25,58,39,21,29,10,18,43,79
ZKLSKKBEKZ_L,9,14,15,30,31,14,12,4,5,29,52
ZKLSKKBEKZ_M,17,8,19,25,35,24,19,7,13,21,52
ZKLSKKBEKZ_S,24,44,31,71,95,55,50,20,15,65,149
ZKLSKKBEKZ_XL,17,20,29,32,37,19,17,7,7,43,78
ZKLSKKBEKZ_XS,35,49,82,102,109,73,62,33,30,126,202
ZKLSKKBEKZ_XXS,17,31,30,61,69,49,32,10,14,64,105
ZOFDKNLVEN_L,21,26,38,65,56,40,24,12,13,45,132
ZOFDKNLVEN_M,24,27,59,88,69,36,30,13,19,35,138
ZOFDKNLVEN_S,12,14,30,35,47,33,28,8,10,34,91
ZOFDKNLVEN_XL,11,10,10,24,28,14,18,4,11,24,47
ZOFDKNLVEN_XS,10,13,11,22,23,15,13,5,6,21,43
ZOFDKNLVEN_XXL,10,20,10,23,26,15,13,6,5,20,47
